cell_id,CellType,Layer,Depth,latency,onset,width,ratio_p2t
cell_0,E,5,838.0,0.0084,60.50628252239261,0.0,0.0
cell_1,E,4,590.0,0.00635,27.52824099485746,0.0,0.0
cell_2,E,4,528.0,0.00665,10.762429278087502,0.0,0.0
cell_3,E,4,590.0,0.00455,27.162264943024773,0.0,0.0
cell_4,E,4,548.0,0.0,0.0,0.0,0.0
cell_5,E,4,459.0,0.02275,3.692882297487832,0.0,0.0
cell_6,E,4,546.0,0.0088,23.653264395548646,0.0,0.0
cell_7,E,4,487.0,0.004,41.75779693662768,0.0,0.0
cell_8,E,4,570.0,0.00645,19.77201260573051,0.0,0.0
cell_9,E,4,497.0,0.0159,8.028965571348087,0.0,0.0
cell_10,E,4,542.0,0.01255,21.64107222260946,0.0,0.0
cell_11,E,4,520.0,0.00595,11.860663740951724,0.0,0.0
cell_12,E,4,524.0,0.0085,65.95077944636226,0.0,0.0
cell_13,E,5,790.0,0.0095,85.07159400526473,0.0,0.0
cell_14,E,5,700.0,0.00905,58.654035076005705,0.0,0.0
cell_15,E,5,685.0,0.0086,45.66979091550064,0.0,0.0
cell_16,E,5,905.0,0.00415,14.977241959677114,0.0,0.0
cell_17,E,5,750.0,0.00595,98.98959560406993,0.0,0.0
cell_18,E,4,407.0,0.00705,3.608654485973154,0.0,0.0
cell_19,E,5,729.0,0.00425,22.78687602630075,0.0,0.0
cell_20,E,5,654.0,0.00665,14.016090526590691,0.0,0.0
cell_21,E,5,728.0,0.0077,84.32317916901884,0.0,0.0
cell_22,E,5,820.0,0.00865,6.891229723170015,0.0,0.0
cell_23,E,5,788.0,0.0077,44.553744942834456,0.0,0.0
cell_24,E,5,653.0,0.0126,15.103821389976847,0.0,0.0
cell_25,E,4,419.0,0.0111,32.55070706872114,0.0,0.0
cell_26,E,5,698.0,0.0,0.0,0.0,0.0
cell_27,E,5,880.0,0.00835,49.170934992200806,0.0,0.0
cell_28,E,5,978.0,0.0,0.0,0.0,0.0
cell_29,E,4,424.0,0.0066,2.51046149953018,0.0,0.0
cell_30,E,5,608.0,0.0183,9.359609668593302,0.0,0.0
cell_31,E,4,445.0,0.00715,11.786303299336735,0.0,0.0
cell_32,E,5,777.0,0.00705,106.30823142579635,0.0,0.0
cell_33,E,5,768.0,0.01175,10.412914796444248,0.0,0.0
cell_34,E,5,703.0,0.01045,6.799662042204449,0.0,0.0
cell_35,E,5,722.0,0.02315,4.38140847196499,0.0,0.0
cell_36,E,5,665.0,0.0211,3.406872419631283,0.0,0.0
cell_37,E,5,994.0,0.0145,19.37633292272905,0.0,0.0
cell_38,E,5,650.0,0.00585,43.87720189201898,0.0,0.0
cell_39,E,5,684.0,0.01175,64.59639080720908,0.0,0.0
cell_40,E,4,589.0,0.01245,70.1122028868162,0.0,0.0
cell_41,E,5,723.0,0.0057,93.83813936917544,0.0,0.0
cell_42,E,4,557.0,0.00285,5.996857856338654,0.0,0.0
cell_43,E,5,713.0,0.0076,86.53856885648173,0.0,0.0
cell_44,E,4,446.0,0.0042,9.958684994364727,0.0,0.0
