"","x"
"1","PV"
"2","PV"
"3","PV"
"4","SST"
"5","PV"
"6","PV"
"7","PV"
"8","PV"
"9","SST"
"10","PV"
"11","SST"
"12","Pyra"
"13","PV"
"14","Pyra"
"15","SST"
"16","Pyra"
"17","Pyra"
"18","Pyra"
"19","Pyra"
"20","Pyra"
"21","SST"
"22","Pyra"
"23","SST"
"24","PV"
"25","PV"
"26","PV"
"27","PV"
"28","PV"
"29","SST"
"30","PV"
"31","PV"
"32","PV"
"33","PV"
"34","SST"
"35","PV"
"36","PV"
"37","PV"
"38","PV"
"39","PV"
"40","PV"
"41","SST"
"42","PV"
"43","PV"
"44","PV"
"45","PV"
"46","PV"
"47","PV"
"48","PV"
"49","SST"
"50","SST"
"51","PV"
"52","PV"
"53","SST"
"54","PV"
"55","SST"
"56","SST"
"57","SST"
"58","PV"
"59","PV"
"60","PV"
"61","SST"
"62","SST"
"63","PV"
"64","PV"
"65","SST"
"66","PV"
"67","PV"
